# BUSCO version is: 6.1.0 
# The lineage dataset is: archaea_odb12.2 (Creation date: 2026-05-22, number of genomes: 157, number of BUSCOs: 195)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
314at2157	Missing
1798at2157	Missing
1912at2157	Missing
4116at2157	Missing
4696at2157	Duplicated	k141_58	5479	6480	+	324.8	296	https://v12-2.orthodb.org/?query=4696at2157	Ornithine carbamoyltransferase
4696at2157	Duplicated	k141_15	161758	162768	+	334.9	295	https://v12-2.orthodb.org/?query=4696at2157	Ornithine carbamoyltransferase
5615at2157	Missing
5619at2157	Missing
5670at2157	Missing
5718at2157	Missing
5866at2157	Missing
5877at2157	Complete	k141_5	13047	14252	+	455.1	375	https://v12-2.orthodb.org/?query=5877at2157	Argininosuccinate synthase
5935at2157	Missing
5987at2157	Missing
6075at2157	Missing
6113at2157	Complete	k141_8	84197	82806	-	464.4	436	https://v12-2.orthodb.org/?query=6113at2157	Glycyl-tRNA synthetase
6121at2157	Missing
6244at2157	Missing
6290at2157	Fragmented	k141_42	33044	35125	+	385.3	533	https://v12-2.orthodb.org/?query=6290at2157	EF-2
6295at2157	Missing
6379at2157	Missing
6533at2157	Missing
6575at2157	Complete	k141_27	2783	3973	+	336.4	369	https://v12-2.orthodb.org/?query=6575at2157	Phosphoglycerate kinase
6605at2157	Complete	k141_15	70605	69577	-	220.4	230	https://v12-2.orthodb.org/?query=6605at2157	PurM-like, C-terminal domain
6874at2157	Complete	k141_39	49978	50427	+	221.9	149	https://v12-2.orthodb.org/?query=6874at2157	Nucleoside diphosphate kinase
7000at2157	Missing
7144at2157	Missing
7146at2157	Missing
7259at2157	Missing
7316at2157	Missing
7375at2157	Missing
7378at2157	Missing
7506at2157	Complete	k141_8	35429	38059	+	522.9	792	https://v12-2.orthodb.org/?query=7506at2157	Alanine-tRNA ligase, class IIc
7529at2157	Missing
7620at2157	Missing
7668at2157	Missing
7751at2157	Missing
7792at2157	Missing
7793at2157	Missing
7798at2157	Missing
7870at2157	Missing
7902at2157	Missing
7912at2157	Missing
7927at2157	Missing
8183at2157	Missing
8293at2157	Complete	k141_58	109770	110540	+	259.4	239	https://v12-2.orthodb.org/?query=8293at2157	Decaprenyl diphosphate synthase-like
8389at2157	Missing
8479at2157	Missing
8493at2157	Complete	k141_34	60397	61371	+	469.2	315	https://v12-2.orthodb.org/?query=8493at2157	Delta-aminolevulinic acid dehydratase
8643at2157	Missing
8644at2157	Missing
8656at2157	Missing
8658at2157	Fragmented	k141_20	3602	1905	-	97.4	273	https://v12-2.orthodb.org/?query=8658at2157	Replication factor C, large subunit
8659at2157	Complete	k141_8	20733	21995	+	265.6	336	https://v12-2.orthodb.org/?query=8659at2157	Histidine-tRNA ligase
8680at2157	Complete	k141_27	6506	7810	+	449.5	369	https://v12-2.orthodb.org/?query=8680at2157	Enolase
8831at2157	Missing
8842at2157	Complete	k141_42	20669	21091	+	121.7	132	https://v12-2.orthodb.org/?query=8842at2157	Large ribosomal subunit protein uL11, C-terminal
8904at2157	Duplicated	k141_39	158010	156805	-	234.3	380	https://v12-2.orthodb.org/?query=8904at2157	Aspartate kinase
8904at2157	Duplicated	k141_58	186237	184855	-	226.8	371	https://v12-2.orthodb.org/?query=8904at2157	Aspartate kinase
9089at2157	Complete	k141_58	48042	48653	+	98.3	158	https://v12-2.orthodb.org/?query=9089at2157	Orotate phosphoribosyl transferase domain
9126at2157	Missing
9418at2157	Missing
9465at2157	Missing
9473at2157	Complete	k141_15	77480	76998	-	175.4	145	https://v12-2.orthodb.org/?query=9473at2157	PurE domain
9593at2157	Missing
9863at2157	Missing
9883at2157	Complete	k141_22	11029	11922	+	215.4	228	https://v12-2.orthodb.org/?query=9883at2157	Ribosomal RNA adenine methylase transferase, N-terminal
9887at2157	Missing
10058at2157	Missing
10073at2157	Missing
10127at2157	Missing
10348at2157	Missing
10382at2157	Missing
10429at2157	Missing
10470at2157	Missing
10536at2157	Complete	k141_58	53025	54224	+	209.3	333	https://v12-2.orthodb.org/?query=10536at2157	Flavoprotein
10567at2157	Missing
10698at2157	Missing
10737at2157	Missing
10899at2157	Missing
10943at2157	Missing
10981at2157	Complete	k141_61	93689	94966	+	254.5	380	https://v12-2.orthodb.org/?query=10981at2157	Hydroxymethylglutaryl-CoA reductase, class I/II
11138at2157	Missing
11309at2157	Missing
11624at2157	Missing
11877at2157	Missing
12054at2157	Missing
14397at2157	Missing
15051at2157	Missing
15212at2157	Missing
15328at2157	Missing
15447at2157	Missing
